time,ADS,section,level
2024-04-15 16:29:07.240279,TCP,Curve,0
2024-04-15 16:52:58.069179,TCP,Curve,1
2024-04-15 17:11:04.818570,TCP,Curve,2
2024-04-15 17:42:27.516112,TCP,Curve,3
2024-04-15 18:13:27.791084,TCP,Curve,4
2024-04-15 18:51:06.419466,TCP,Curve,baseline
2024-04-15 19:15:07.659593,TCP,Straight,0
2024-04-15 19:42:20.005867,TCP,Straight,1
2024-04-15 20:40:31.858503,TCP,Straight,2
2024-04-15 21:54:34.406942,TCP,Straight,3
2024-04-15 23:05:47.356339,TCP,Straight,4
2024-04-16 00:40:31.241432,TCP,Straight,baseline
2024-04-16 01:18:48.672653,InterFuser,Curve,0
2024-04-16 01:48:53.606079,InterFuser,Curve,1
2024-04-16 02:17:00.006686,InterFuser,Curve,2
2024-04-16 02:54:09.873653,InterFuser,Curve,3
2024-04-16 03:38:08.421588,InterFuser,Curve,4
2024-04-16 05:37:43.738120,InterFuser,Curve,baseline
2024-04-16 06:11:35.621512,InterFuser,Straight,0
2024-04-16 07:04:47.811368,InterFuser,Straight,1
2024-04-16 08:24:20.082139,InterFuser,Straight,2
2024-04-16 09:58:40.402456,InterFuser,Straight,3
2024-04-16 11:45:40.689851,InterFuser,Straight,4
2024-04-16 13:57:30.831339,InterFuser,Straight,baseline
